"Territory","Indicator","Source","Years","Value"
"Czechia","Gross electricity production - thermal power plants","thermal","2014","50262.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2015","51143.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2010","53574.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2011","53951.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2012","51669.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2013","50015.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2016","53375.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2021","47813.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2022","47475.553"
"Czechia","Gross electricity production - thermal power plants","thermal","2017","52886.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2018","52464.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2019","50598.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2020","45051.0"
"Czechia","Gross electricity production - thermal power plants","thermal","2023","39506.288"
"Czechia","Gross electricity production - hydro power plants","hydro","2010","3380.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2011","2664.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2014","2961.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2015","3071.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2012","2860.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2013","3639.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2016","3202.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2017","3040.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2018","2679.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2019","3175.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2020","3437.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2021","3620.0"
"Czechia","Gross electricity production - hydro power plants","hydro","2022","3083.174"
"Czechia","Gross electricity production - hydro power plants","hydro","2023","3416.997"
"Czechia","Gross electricity production - wind power plants","wind","2010","335.0"
"Czechia","Gross electricity production - wind power plants","wind","2011","397.0"
"Czechia","Gross electricity production - wind power plants","wind","2012","416.0"
"Czechia","Gross electricity production - wind power plants","wind","2013","481.0"
"Czechia","Gross electricity production - wind power plants","wind","2014","477.0"
"Czechia","Gross electricity production - wind power plants","wind","2016","497.0"
"Czechia","Gross electricity production - wind power plants","wind","2017","591.0"
"Czechia","Gross electricity production - wind power plants","wind","2015","573.0"
"Czechia","Gross electricity production - wind power plants","wind","2018","609.0"
"Czechia","Gross electricity production - wind power plants","wind","2019","700.0"
"Czechia","Gross electricity production - wind power plants","wind","2020","699.0"
"Czechia","Gross electricity production - wind power plants","wind","2021","602.0"
"Czechia","Gross electricity production - wind power plants","wind","2022","641.331"
"Czechia","Gross electricity production - wind power plants","wind","2023","701.606"
"Czechia","Gross electricity production - solar power plats","solar","2011","2182.0"
"Czechia","Gross electricity production - solar power plats","solar","2012","2149.0"
"Czechia","Gross electricity production - solar power plats","solar","2010","616.0"
"Czechia","Gross electricity production - solar power plats","solar","2013","2033.0"
"Czechia","Gross electricity production - solar power plats","solar","2015","2264.0"
"Czechia","Gross electricity production - solar power plats","solar","2016","2131.0"
"Czechia","Gross electricity production - solar power plats","solar","2014","2123.0"
"Czechia","Gross electricity production - solar power plats","solar","2017","2193.0"
"Czechia","Gross electricity production - solar power plats","solar","2018","2359.0"
"Czechia","Gross electricity production - solar power plats","solar","2020","2287.0"
"Czechia","Gross electricity production - solar power plats","solar","2019","2312.0"
"Czechia","Gross electricity production - solar power plats","solar","2021","2250.0"
"Czechia","Gross electricity production - solar power plats","solar","2022","2626.272"
"Czechia","Gross electricity production - solar power plats","solar","2023","3210.432"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2010","27998.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2011","28283.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2013","30745.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2014","30325.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2012","30324.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2015","26841.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2018","29921.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2016","24104.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2017","28340.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2019","30246.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2020","30043.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2021","30731.0"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2022","31021.81"
"Czechia","Gross electricity production - nuclear power plants","nuclear","2023","30410.464"